reg_id,consumption_share1,consumption_share2,consumption_share3,consumption_share4,consumption_share5,consumption_share6,consumption_share7,consumption_share8,consumption_share9,consumption_share10
BE221,.013771893,.21326917,.0042349962,.12558414,.058883071,.055625319,.068680279,.068680279,.19563542,.19563542
BE222,.013771893,.21326917,.0042349962,.12558414,.058883071,.055625319,.068680279,.068680279,.19563542,.19563542
BE223,.013771893,.21326917,.0042349962,.12558414,.058883071,.055625319,.068680279,.068680279,.19563542,.19563542
BE231,.014060283,.20515172,.0051609855,.13029793,.061816771,.059175074,.068388283,.068388283,.19378036,.19378036
BE232,.014060283,.20515172,.0051609855,.13029793,.061816771,.059175074,.068388283,.068388283,.19378036,.19378036
BE233,.014060283,.20515172,.0051609855,.13029793,.061816771,.059175074,.068388283,.068388283,.19378036,.19378036
BE234,.014060283,.20515172,.0051609855,.13029793,.061816771,.059175074,.068388283,.068388283,.19378036,.19378036
BE235,.014060283,.20515172,.0051609855,.13029793,.061816771,.059175074,.068388283,.068388283,.19378036,.19378036
BE236,.014060283,.20515172,.0051609855,.13029793,.061816771,.059175074,.068388283,.068388283,.19378036,.19378036
BE241,.01334293,.20574477,.0031656998,.13149165,.064299963,.05652779,.068822078,.068822078,.19389153,.19389153
BE242,.01334293,.20574477,.0031656998,.13149165,.064299963,.05652779,.068822078,.068822078,.19389153,.19389153
BE251,.014475094,.21061623,.0050133322,.1266928,.057928126,.059789646,.07017675,.07017675,.19256562,.19256562
BE252,.014475094,.21061623,.0050133322,.1266928,.057928126,.059789646,.07017675,.07017675,.19256562,.19256562
BE253,.014475094,.21061623,.0050133322,.1266928,.057928126,.059789646,.07017675,.07017675,.19256562,.19256562
BE254,.014475094,.21061623,.0050133322,.1266928,.057928126,.059789646,.07017675,.07017675,.19256562,.19256562
BE255,.014475094,.21061623,.0050133322,.1266928,.057928126,.059789646,.07017675,.07017675,.19256562,.19256562
BE256,.014475094,.21061623,.0050133322,.1266928,.057928126,.059789646,.07017675,.07017675,.19256562,.19256562
BE257,.014475094,.21061623,.0050133322,.1266928,.057928126,.059789646,.07017675,.07017675,.19256562,.19256562
BE258,.014475094,.21061623,.0050133322,.1266928,.057928126,.059789646,.07017675,.07017675,.19256562,.19256562
BE310,.013934851,.22320943,.0043100012,.12858218,.066672228,.057360213,.069542512,.069542512,.18342301,.18342301
BE321,.014078903,.2058823,.0041584312,.13088927,.059004601,.059288751,.068335399,.068335399,.19501346,.19501346
